[18:45:13.147], STTP, 10, , , , , , send_share, CPU: 2.148637 ms, wall: 2.348881 ms, 1
[18:45:13.151], STTP, 10, <--, CLIENT, 17, list, 02e56cdd, ROUTE, , , 1
[18:45:13.152], STTP, 10, -->, CLIENT, 17, list, df4d675f, ROUTE, , , 1
[18:45:13.153], STTP, 10, , , , , , send_share, CPU: 1.082948 ms, wall: 1.097357 ms, 1
[18:45:13.195], STTP, 10, <--, CLIENT, 52, list, 036f4951, ROUTE, , , 1
[18:45:13.196], STTP, 10, -->, CLIENT, 52, list, 1059f927, ROUTE, , , 1
[18:45:13.196], STTP, 10, , , , , , send_share, CPU: 1.189852 ms, wall: 1.203067 ms, 1
[18:45:13.201], STTP, 10, <--, CLIENT, 58, list, e1f328f4, ROUTE, , , 1
[18:45:13.202], STTP, 10, -->, CLIENT, 58, list, 984b81e8, ROUTE, , , 1
[18:45:13.205], STTP, 10, , , , , , send_share, CPU: 1.174306 ms, wall: 3.114050 ms, 1
[18:45:13.205], STTP, 10, <--, CLIENT, 60, list, 28d6d42b, ROUTE, , , 1
[18:45:13.216], STTP, 10, -->, CLIENT, 60, list, b928aede, ROUTE, , , 1
[18:45:13.216], STTP, 10, , , , , , send_share, CPU: 1.255879 ms, wall: 1.276482 ms, 1
[18:45:13.216], STTP, 10, <--, CLIENT, 98, list, 48d2378c, ROUTE, , , 1
[18:45:13.217], STTP, 10, -->, CLIENT, 98, list, e69da0e6, ROUTE, , , 1
[18:45:13.217], STTP, 10, , , , , , send_share, CPU: 1.040285 ms, wall: 1.053111 ms, 1
[18:45:13.222], STTP, 10, <--, CLIENT, 66, list, 9e67068e, ROUTE, , , 1
[18:45:13.225], STTP, 10, -->, CLIENT, 66, list, 7d6fc2f8, ROUTE, , , 1
[18:45:13.230], STTP, 10, , , , , , send_share, CPU: 1.531724 ms, wall: 7.953004 ms, 1
