[18:45:12.886], STTP, 2, , , , , , send_share, CPU: 0.807254 ms, wall: 0.820360 ms, 1
[18:45:12.944], STTP, 2, <--, CLIENT, 34, list, 4f2c15e4, ROUTE, , , 1
[18:45:12.946], STTP, 2, -->, CLIENT, 34, list, d6f25db7, ROUTE, , , 1
[18:45:12.946], STTP, 2, , , , , , send_share, CPU: 1.946122 ms, wall: 1.982292 ms, 1
[18:45:12.987], STTP, 2, <--, CLIENT, 39, list, c0937eb9, ROUTE, , , 1
[18:45:12.988], STTP, 2, -->, CLIENT, 39, list, b40e7193, ROUTE, , , 1
[18:45:12.989], STTP, 2, , , , , , send_share, CPU: 1.065392 ms, wall: 1.078503 ms, 1
[18:45:12.989], STTP, 2, <--, CLIENT, 26, list, c42d0595, ROUTE, , , 1
[18:45:12.990], STTP, 2, -->, CLIENT, 26, list, d4a0f237, ROUTE, , , 1
[18:45:12.990], STTP, 2, , , , , , send_share, CPU: 0.984303 ms, wall: 0.994654 ms, 1
[18:45:13.031], STTP, 2, <--, CLIENT, 63, list, 580fb789, ROUTE, , , 1
[18:45:13.033], STTP, 2, -->, CLIENT, 63, list, 39533066, ROUTE, , , 1
[18:45:13.034], STTP, 2, , , , , , send_share, CPU: 2.290371 ms, wall: 2.496542 ms, 1
[18:45:13.058], STTP, 2, <--, CLIENT, 75, list, 238bc153, ROUTE, , , 1
[18:45:13.059], STTP, 2, -->, CLIENT, 75, list, 89703f57, ROUTE, , , 1
[18:45:13.059], STTP, 2, , , , , , send_share, CPU: 0.778924 ms, wall: 0.790093 ms, 1
[18:45:13.072], STTP, 2, <--, CLIENT, 48, list, 3974d56a, ROUTE, , , 1
[18:45:13.073], STTP, 2, -->, CLIENT, 48, list, d8060ced, ROUTE, , , 1
[18:45:13.074], STTP, 2, , , , , , send_share, CPU: 1.162163 ms, wall: 1.547484 ms, 1
[18:45:13.076], STTP, 2, <--, CLIENT, 59, list, 1f9ee317, ROUTE, , , 1
[18:45:13.077], STTP, 2, -->, CLIENT, 59, list, e3d0e6f8, ROUTE, , , 1
[18:45:13.078], STTP, 2, , , , , , send_share, CPU: 1.181281 ms, wall: 1.198203 ms, 1
[18:45:13.078], STTP, 2, <--, CLIENT, 33, list, 0f3dd4e9, ROUTE, , , 1
[18:45:13.079], STTP, 2, -->, CLIENT, 33, list, f34dd273, ROUTE, , , 1
[18:45:13.079], STTP, 2, , , , , , send_share, CPU: 0.848661 ms, wall: 0.864791 ms, 1
[18:45:13.082], STTP, 2, <--, CLIENT, 22, list, c5ef24fb, ROUTE, , , 1
[18:45:13.083], STTP, 2, -->, CLIENT, 22, list, 1af3a8f1, ROUTE, , , 1
[18:45:13.084], STTP, 2, , , , , , send_share, CPU: 0.871125 ms, wall: 0.886891 ms, 1
[18:45:13.097], STTP, 2, <--, CLIENT, 19, list, f4dbf934, ROUTE, , , 1
[18:45:13.097], STTP, 2, -->, CLIENT, 19, list, ae3713b1, ROUTE, , , 1
[18:45:13.098], STTP, 2, , , , , , send_share, CPU: 0.858179 ms, wall: 0.872004 ms, 1
[18:45:13.133], STTP, 2, <--, CLIENT, 61, list, 4de559d8, ROUTE, , , 1
[18:45:13.136], STTP, 2, -->, CLIENT, 61, list, 64887106, ROUTE, , , 1
[18:45:13.136], STTP, 2, , , , , , send_share, CPU: 1.639620 ms, wall: 2.150569 ms, 1
