[18:45:13.001], STTP, 17, -->, CLIENT, 40, list, 638ffd6b, ROUTE, , , 1
[18:45:13.001], STTP, 17, , , , , , send_share, CPU: 2.111119 ms, wall: 2.308173 ms, 1
[18:45:13.019], STTP, 17, <--, CLIENT, 41, list, 8a681f18, ROUTE, , , 1
[18:45:13.021], STTP, 17, -->, CLIENT, 41, list, 0d557451, ROUTE, , , 1
[18:45:13.021], STTP, 17, , , , , , send_share, CPU: 1.214255 ms, wall: 1.227541 ms, 1
[18:45:13.030], STTP, 17, <--, CLIENT, 63, list, 580fb789, ROUTE, , , 1
[18:45:13.031], STTP, 17, -->, CLIENT, 63, list, 87b45299, ROUTE, , , 1
[18:45:13.031], STTP, 17, , , , , , send_share, CPU: 0.957995 ms, wall: 0.971159 ms, 1
[18:45:13.058], STTP, 17, <--, CLIENT, 75, list, 238bc153, ROUTE, , , 1
[18:45:13.059], STTP, 17, -->, CLIENT, 75, list, 49fdfd2f, ROUTE, , , 1
[18:45:13.059], STTP, 17, , , , , , send_share, CPU: 0.886811 ms, wall: 0.897137 ms, 1
[18:45:13.070], STTP, 17, <--, CLIENT, 38, list, e2996dd0, ROUTE, , , 1
[18:45:13.071], STTP, 17, -->, CLIENT, 38, list, 273cd54b, ROUTE, , , 1
[18:45:13.072], STTP, 17, , , , , , send_share, CPU: 1.244826 ms, wall: 1.264983 ms, 1
[18:45:13.073], STTP, 17, <--, CLIENT, 48, list, 3974d56a, ROUTE, , , 1
[18:45:13.075], STTP, 17, -->, CLIENT, 48, list, a17685fa, ROUTE, , , 1
[18:45:13.075], STTP, 17, , , , , , send_share, CPU: 1.207435 ms, wall: 1.229606 ms, 1
[18:45:13.085], STTP, 17, <--, CLIENT, 32, list, 3d3f26f1, ROUTE, , , 1
[18:45:13.086], STTP, 17, -->, CLIENT, 32, list, 42194c0f, ROUTE, , , 1
[18:45:13.086], STTP, 17, , , , , , send_share, CPU: 0.886656 ms, wall: 0.903732 ms, 1
[18:45:13.109], STTP, 17, <--, CLIENT, 9, list, 8a9f1c15, ROUTE, , , 1
[18:45:13.111], STTP, 17, -->, CLIENT, 9, list, 6fe944d3, ROUTE, , , 1
[18:45:13.111], STTP, 17, , , , , , send_share, CPU: 2.170545 ms, wall: 2.199379 ms, 1
[18:45:13.118], STTP, 17, <--, CLIENT, 46, list, 10a8ff63, ROUTE, , , 1
[18:45:13.124], STTP, 17, -->, CLIENT, 46, list, 06b6165c, ROUTE, , , 1
[18:45:13.124], STTP, 17, , , , , , send_share, CPU: 1.259293 ms, wall: 1.277127 ms, 1
[18:45:13.124], STTP, 17, <--, CLIENT, 82, list, ec8a9c0b, ROUTE, , , 1
[18:45:13.128], STTP, 17, -->, CLIENT, 82, list, d10e6a63, ROUTE, , , 1
[18:45:13.128], STTP, 17, , , , , , send_share, CPU: 1.118887 ms, wall: 1.130583 ms, 1
[18:45:13.129], STTP, 17, <--, CLIENT, 72, list, 96c88920, ROUTE, , , 1
[18:45:13.130], STTP, 17, -->, CLIENT, 72, list, 47d996ce, ROUTE, , , 1
[18:45:13.131], STTP, 17, , , , , , send_share, CPU: 1.156672 ms, wall: 1.212002 ms, 1
[18:45:13.135], STTP, 17, <--, CLIENT, 61, list, 4de559d8, ROUTE, , , 1
