[18:45:13.083], STTP, 9, <--, CLIENT, 22, list, c5ef24fb, ROUTE, , , 1
[18:45:13.084], STTP, 9, -->, CLIENT, 22, list, 0ab90293, ROUTE, , , 1
[18:45:13.084], STTP, 9, , , , , , send_share, CPU: 1.236390 ms, wall: 1.259912 ms, 1
[18:45:13.085], STTP, 9, <--, CLIENT, 32, list, 3d3f26f1, ROUTE, , , 1
[18:45:13.086], STTP, 9, -->, CLIENT, 32, list, 0ac91f1d, ROUTE, , , 1
[18:45:13.086], STTP, 9, , , , , , send_share, CPU: 1.165317 ms, wall: 1.186758 ms, 1
[18:45:13.095], STTP, 9, <--, CLIENT, 64, list, 3f778787, ROUTE, , , 1
[18:45:13.097], STTP, 9, -->, CLIENT, 64, list, 666039c9, ROUTE, , , 1
[18:45:13.097], STTP, 9, , , , , , send_share, CPU: 2.340632 ms, wall: 2.541753 ms, 1
[18:45:13.116], STTP, 9, <--, CLIENT, 97, list, 078a9a97, ROUTE, , , 1
[18:45:13.119], STTP, 9, -->, CLIENT, 97, list, 8ede57d4, ROUTE, , , 1
[18:45:13.120], STTP, 9, , , , , , send_share, CPU: 1.642562 ms, wall: 1.674891 ms, 1
[18:45:13.120], STTP, 9, <--, CLIENT, 70, list, 545edca6, ROUTE, , , 1
[18:45:13.121], STTP, 9, -->, CLIENT, 70, list, 5b49caa7, ROUTE, , , 1
[18:45:13.121], STTP, 9, , , , , , send_share, CPU: 0.794260 ms, wall: 0.804670 ms, 1
[18:45:13.121], STTP, 9, <--, CLIENT, 82, list, ec8a9c0b, ROUTE, , , 1
[18:45:13.122], STTP, 9, -->, CLIENT, 82, list, 79861de0, ROUTE, , , 1
[18:45:13.122], STTP, 9, , , , , , send_share, CPU: 0.745723 ms, wall: 0.755836 ms, 1
[18:45:13.126], STTP, 9, <--, CLIENT, 72, list, 96c88920, ROUTE, , , 1
[18:45:13.127], STTP, 9, -->, CLIENT, 72, list, 220373bb, ROUTE, , , 1
[18:45:13.127], STTP, 9, , , , , , send_share, CPU: 1.168069 ms, wall: 1.180207 ms, 1
[18:45:13.166], STTP, 9, <--, CLIENT, 95, list, e23750ef, ROUTE, , , 1
[18:45:13.167], STTP, 9, -->, CLIENT, 95, list, 734ea10a, ROUTE, , , 1
[18:45:13.168], STTP, 9, , , , , , send_share, CPU: 1.203000 ms, wall: 1.217575 ms, 1
[18:45:13.184], STTP, 9, <--, CLIENT, 5, list, 8a799af7, ROUTE, , , 1
[18:45:13.185], STTP, 9, -->, CLIENT, 5, list, 66945286, ROUTE, , , 1
[18:45:13.185], STTP, 9, , , , , , send_share, CPU: 0.969511 ms, wall: 0.983102 ms, 1
[18:45:13.203], STTP, 9, <--, CLIENT, 58, list, e1f328f4, ROUTE, , , 1
[18:45:13.204], STTP, 9, -->, CLIENT, 58, list, 5dd556b5, ROUTE, , , 1
[18:45:13.207], STTP, 9, , , , , , send_share, CPU: 1.443672 ms, wall: 3.026931 ms, 1
[18:45:13.207], STTP, 9, <--, CLIENT, 60, list, 28d6d42b, ROUTE, , , 1
[18:45:13.209], STTP, 9, -->, CLIENT, 60, list, 71102ad1, ROUTE, , , 1
[18:45:13.209], STTP, 9, , , , , , send_share, CPU: 1.784359 ms, wall: 1.836594 ms, 1
[18:45:13.209], STTP, 9, <--, CLIENT, 92, list, c5c03b80, ROUTE, , , 1
[18:45:13.210], STTP, 9, -->, CLIENT, 92, list, 3c407fc5, ROUTE, , , 1
[18:45:13.210], STTP, 9, , , , , , send_share, CPU: 0.800430 ms, wall: 0.816431 ms, 1
[18:45:13.213], STTP, 9, <--, CLIENT, 78, list, c11aa333, ROUTE, , , 1
[18:45:13.222], STTP, 9, -->, CLIENT, 78, list, 66f4de25, ROUTE, , , 1
[18:45:13.225], STTP, 9, , , , , , send_share, CPU: 1.265764 ms, wall: 3.192048 ms, 1
