[18:45:13.030], STTP, 7, <--, CLIENT, 63, list, 580fb789, ROUTE, , , 1
[18:45:13.031], STTP, 7, -->, CLIENT, 63, list, f790e404, ROUTE, , , 1
[18:45:13.031], STTP, 7, , , , , , send_share, CPU: 0.815694 ms, wall: 0.831801 ms, 1
[18:45:13.071], STTP, 7, <--, CLIENT, 99, list, 007160a0, ROUTE, , , 1
[18:45:13.073], STTP, 7, -->, CLIENT, 99, list, 02570679, ROUTE, , , 1
[18:45:13.074], STTP, 7, , , , , , send_share, CPU: 2.402131 ms, wall: 2.451231 ms, 1
[18:45:13.075], STTP, 7, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.076], STTP, 7, -->, CLIENT, 68, list, 5c9bc612, ROUTE, , , 1
[18:45:13.077], STTP, 7, , , , , , send_share, CPU: 2.115563 ms, wall: 2.154148 ms, 1
[18:45:13.078], STTP, 7, <--, CLIENT, 33, list, 0f3dd4e9, ROUTE, , , 1
[18:45:13.079], STTP, 7, -->, CLIENT, 33, list, 4b162344, ROUTE, , , 1
[18:45:13.080], STTP, 7, , , , , , send_share, CPU: 1.296848 ms, wall: 1.529195 ms, 1
[18:45:13.102], STTP, 7, <--, CLIENT, 83, list, 5bf5ded1, ROUTE, , , 1
[18:45:13.103], STTP, 7, -->, CLIENT, 83, list, 4b3ff485, ROUTE, , , 1
[18:45:13.103], STTP, 7, , , , , , send_share, CPU: 0.918025 ms, wall: 0.928877 ms, 1
[18:45:13.113], STTP, 7, <--, CLIENT, 65, list, ab70e6bb, ROUTE, , , 1
[18:45:13.115], STTP, 7, -->, CLIENT, 65, list, 2f41c30b, ROUTE, , , 1
[18:45:13.116], STTP, 7, , , , , , send_share, CPU: 2.222219 ms, wall: 2.252844 ms, 1
[18:45:13.127], STTP, 7, <--, CLIENT, 74, list, c7f5ff6b, ROUTE, , , 1
[18:45:13.129], STTP, 7, -->, CLIENT, 74, list, 18f74753, ROUTE, , , 1
[18:45:13.130], STTP, 7, , , , , , send_share, CPU: 1.402275 ms, wall: 2.615876 ms, 1
[18:45:13.134], STTP, 7, <--, CLIENT, 35, list, 4960d8b1, ROUTE, , , 1
[18:45:13.135], STTP, 7, -->, CLIENT, 35, list, 71d7235a, ROUTE, , , 1
[18:45:13.135], STTP, 7, , , , , , send_share, CPU: 1.204249 ms, wall: 1.216776 ms, 1
[18:45:13.144], STTP, 7, <--, CLIENT, 94, list, e6dd0523, ROUTE, , , 1
[18:45:13.145], STTP, 7, -->, CLIENT, 94, list, b17cb815, ROUTE, , , 1
[18:45:13.145], STTP, 7, , , , , , send_share, CPU: 0.938623 ms, wall: 0.958255 ms, 1
[18:45:13.156], STTP, 7, <--, CLIENT, 80, list, 5fab0d80, ROUTE, , , 1
[18:45:13.157], STTP, 7, -->, CLIENT, 80, list, 77892721, ROUTE, , , 1
[18:45:13.164], STTP, 7, , , , , , send_share, CPU: 1.349395 ms, wall: 8.254997 ms, 1
[18:45:13.164], STTP, 7, <--, CLIENT, 95, list, e23750ef, ROUTE, , , 1
[18:45:13.165], STTP, 7, -->, CLIENT, 95, list, 29830b7a, ROUTE, , , 1
[18:45:13.169], STTP, 7, , , , , , send_share, CPU: 1.165110 ms, wall: 4.328000 ms, 1
[18:45:13.179], STTP, 7, <--, CLIENT, 57, list, f08513bf, ROUTE, , , 1
[18:45:13.180], STTP, 7, -->, CLIENT, 57, list, 93a53c10, ROUTE, , , 1
[18:45:13.180], STTP, 7, , , , , , send_share, CPU: 1.014614 ms, wall: 1.026564 ms, 1
[18:45:13.183], STTP, 7, <--, CLIENT, 5, list, 8a799af7, ROUTE, , , 1
[18:45:13.184], STTP, 7, -->, CLIENT, 5, list, a45394af, ROUTE, , , 1
[18:45:13.185], STTP, 7, , , , , , send_share, CPU: 1.138188 ms, wall: 1.151210 ms, 1
[18:45:13.185], STTP, 7, <--, CLIENT, 49, list, 6b84568b, ROUTE, , , 1
[18:45:13.188], STTP, 7, -->, CLIENT, 49, list, 6255e636, ROUTE, , , 1
[18:45:13.188], STTP, 7, , , , , , send_share, CPU: 1.129857 ms, wall: 1.143205 ms, 1
[18:45:13.223], STTP, 7, <--, CLIENT, 78, list, c11aa333, ROUTE, , , 1
[18:45:13.226], STTP, 7, -->, CLIENT, 78, list, b5fde120, ROUTE, , , 1
[18:45:13.230], STTP, 7, , , , , , send_share, CPU: 1.339226 ms, wall: 6.012743 ms, 1
[18:45:13.240], STTP, 7, <--, CLIENT, 76, list, cca4738c, ROUTE, , , 1
[18:45:13.241], STTP, 7, -->, CLIENT, 76, list, ba7e6fd9, ROUTE, , , 1
[18:45:13.244], STTP, 7, , , , , , send_share, CPU: 1.136254 ms, wall: 3.331348 ms, 1
