[18:45:12.768], STTP, 4, -->, CLIENT, 45, list, 8602f052, ROUTE, , , 1
[18:45:12.768], STTP, 4, , , , , , send_share, CPU: 0.911787 ms, wall: 0.943908 ms, 1
[18:45:12.784], STTP, 4, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.785], STTP, 4, -->, CLIENT, 14, list, 1098323e, ROUTE, , , 1
[18:45:12.785], STTP, 4, , , , , , send_share, CPU: 0.767411 ms, wall: 0.780634 ms, 1
[18:45:12.788], STTP, 4, <--, CLIENT, 11, list, d465cef7, ROUTE, , , 1
[18:45:12.789], STTP, 4, -->, CLIENT, 11, list, 13b78d46, ROUTE, , , 1
[18:45:12.789], STTP, 4, , , , , , send_share, CPU: 0.705726 ms, wall: 0.717324 ms, 1
[18:45:12.822], STTP, 4, <--, CLIENT, 18, list, 655423bb, ROUTE, , , 1
[18:45:12.822], STTP, 4, -->, CLIENT, 18, list, 8716c725, ROUTE, , , 1
[18:45:12.822], STTP, 4, , , , , , send_share, CPU: 0.726387 ms, wall: 0.737055 ms, 1
[18:45:12.907], STTP, 4, <--, CLIENT, 10, list, fb083119, ROUTE, , , 1
[18:45:12.907], STTP, 4, -->, CLIENT, 10, list, 4524fe47, ROUTE, , , 1
[18:45:12.908], STTP, 4, , , , , , send_share, CPU: 0.765638 ms, wall: 0.784481 ms, 1
[18:45:12.941], STTP, 4, <--, CLIENT, 54, list, 6452ae61, ROUTE, , , 1
[18:45:12.942], STTP, 4, -->, CLIENT, 54, list, ade1d0c9, ROUTE, , , 1
[18:45:12.943], STTP, 4, , , , , , send_share, CPU: 1.615413 ms, wall: 1.656705 ms, 1
[18:45:12.944], STTP, 4, <--, CLIENT, 34, list, 4f2c15e4, ROUTE, , , 1
[18:45:12.945], STTP, 4, -->, CLIENT, 34, list, 129e1394, ROUTE, , , 1
[18:45:12.946], STTP, 4, , , , , , send_share, CPU: 2.176618 ms, wall: 2.203415 ms, 1
[18:45:12.995], STTP, 4, <--, CLIENT, 21, list, a42ca0ab, ROUTE, , , 1
[18:45:12.997], STTP, 4, -->, CLIENT, 21, list, c3f30fd6, ROUTE, , , 1
[18:45:12.998], STTP, 4, , , , , , send_share, CPU: 2.243654 ms, wall: 2.296015 ms, 1
[18:45:13.070], STTP, 4, <--, CLIENT, 71, list, 330b28f3, ROUTE, , , 1
[18:45:13.070], STTP, 4, -->, CLIENT, 71, list, 8defa2a0, ROUTE, , , 1
[18:45:13.071], STTP, 4, , , , , , send_share, CPU: 0.977569 ms, wall: 0.997802 ms, 1
[18:45:13.072], STTP, 4, <--, CLIENT, 99, list, 007160a0, ROUTE, , , 1
[18:45:13.073], STTP, 4, -->, CLIENT, 99, list, bbffaf86, ROUTE, , , 1
[18:45:13.073], STTP, 4, , , , , , send_share, CPU: 0.890011 ms, wall: 0.904437 ms, 1
[18:45:13.076], STTP, 4, <--, CLIENT, 59, list, 1f9ee317, ROUTE, , , 1
[18:45:13.077], STTP, 4, -->, CLIENT, 59, list, 5455e14e, ROUTE, , , 1
[18:45:13.078], STTP, 4, , , , , , send_share, CPU: 0.924265 ms, wall: 0.935094 ms, 1
[18:45:13.081], STTP, 4, <--, CLIENT, 30, list, eb278337, ROUTE, , , 1
[18:45:13.082], STTP, 4, -->, CLIENT, 30, list, 88cede43, ROUTE, , , 1
[18:45:13.082], STTP, 4, , , , , , send_share, CPU: 0.843016 ms, wall: 0.857675 ms, 1
[18:45:13.118], STTP, 4, <--, CLIENT, 97, list, 078a9a97, ROUTE, , , 1
[18:45:13.125], STTP, 4, -->, CLIENT, 97, list, 971b2cf8, ROUTE, , , 1
[18:45:13.126], STTP, 4, , , , , , send_share, CPU: 1.226463 ms, wall: 1.238714 ms, 1
[18:45:13.126], STTP, 4, <--, CLIENT, 16, list, 7295c272, ROUTE, , , 1
[18:45:13.129], STTP, 4, -->, CLIENT, 16, list, 5d023420, ROUTE, , , 1
[18:45:13.129], STTP, 4, , , , , , send_share, CPU: 1.235170 ms, wall: 3.068969 ms, 1
[18:45:13.131], STTP, 4, <--, CLIENT, 61, list, 4de559d8, ROUTE, , , 1
[18:45:13.134], STTP, 4, -->, CLIENT, 61, list, 19bc154c, ROUTE, , , 1
[18:45:13.134], STTP, 4, , , , , , send_share, CPU: 1.119801 ms, wall: 1.141443 ms, 1
[18:45:13.154], STTP, 4, <--, CLIENT, 23, list, 292af744, ROUTE, , , 1
[18:45:13.158], STTP, 4, -->, CLIENT, 23, list, 526fab8f, ROUTE, , , 1
[18:45:13.159], STTP, 4, , , , , , send_share, CPU: 2.236003 ms, wall: 4.119747 ms, 1
[18:45:13.159], STTP, 4, <--, CLIENT, 17, list, 02e56cdd, ROUTE, , , 1
[18:45:13.163], STTP, 4, -->, CLIENT, 17, list, 64628bac, ROUTE, , , 1
[18:45:13.166], STTP, 4, , , , , , send_share, CPU: 2.167283 ms, wall: 6.515671 ms, 1
[18:45:13.195], STTP, 4, <--, CLIENT, 52, list, 036f4951, ROUTE, , , 1
[18:45:13.202], STTP, 4, -->, CLIENT, 52, list, fba67d3a, ROUTE, , , 1
[18:45:13.203], STTP, 4, , , , , , send_share, CPU: 2.451082 ms, wall: 7.347884 ms, 1
[18:45:13.205], STTP, 4, <--, CLIENT, 58, list, e1f328f4, ROUTE, , , 1
[18:45:13.208], STTP, 4, -->, CLIENT, 58, list, 023018ec, ROUTE, , , 1
[18:45:13.209], STTP, 4, , , , , , send_share, CPU: 2.179210 ms, wall: 2.210305 ms, 1
[18:45:13.242], STTP, 4, <--, CLIENT, 76, list, cca4738c, ROUTE, , , 1
[18:45:13.246], STTP, 4, -->, CLIENT, 76, list, abbba29b, ROUTE, , , 1
[18:45:13.247], STTP, 4, , , , , , send_share, CPU: 2.183196 ms, wall: 4.055610 ms, 1
[18:45:13.252], STTP, 4, <--, CLIENT, 89, list, ccbbe7b1, ROUTE, , , 1
[18:45:13.254], STTP, 4, -->, CLIENT, 89, list, 739c6a03, ROUTE, , , 1
[18:45:13.257], STTP, 4, , , , , , send_share, CPU: 2.102054 ms, wall: 4.365436 ms, 1
