[18:45:12.943], STTP, 19, , , , , , send_share, CPU: 2.241201 ms, wall: 2.277522 ms, 1
[18:45:12.961], STTP, 19, <--, CLIENT, 55, list, f1e62ade, ROUTE, , , 1
[18:45:12.962], STTP, 19, -->, CLIENT, 55, list, 8e170494, ROUTE, , , 1
[18:45:12.963], STTP, 19, , , , , , send_share, CPU: 2.258457 ms, wall: 2.301627 ms, 1
[18:45:13.031], STTP, 19, <--, CLIENT, 63, list, 580fb789, ROUTE, , , 1
[18:45:13.031], STTP, 19, -->, CLIENT, 63, list, a1c1c21c, ROUTE, , , 1
[18:45:13.032], STTP, 19, , , , , , send_share, CPU: 0.793090 ms, wall: 0.805848 ms, 1
[18:45:13.073], STTP, 19, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.075], STTP, 19, -->, CLIENT, 68, list, 200f09c0, ROUTE, , , 1
[18:45:13.075], STTP, 19, , , , , , send_share, CPU: 1.447087 ms, wall: 1.486433 ms, 1
[18:45:13.081], STTP, 19, <--, CLIENT, 30, list, eb278337, ROUTE, , , 1
[18:45:13.083], STTP, 19, -->, CLIENT, 30, list, 2238c86f, ROUTE, , , 1
[18:45:13.084], STTP, 19, , , , , , send_share, CPU: 2.205397 ms, wall: 2.232292 ms, 1
[18:45:13.084], STTP, 19, <--, CLIENT, 22, list, c5ef24fb, ROUTE, , , 1
[18:45:13.086], STTP, 19, -->, CLIENT, 22, list, 43762ccc, ROUTE, , , 1
[18:45:13.087], STTP, 19, , , , , , send_share, CPU: 2.194778 ms, wall: 2.222814 ms, 1
[18:45:13.089], STTP, 19, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.091], STTP, 19, -->, CLIENT, 47, list, 49aeb200, ROUTE, , , 1
[18:45:13.092], STTP, 19, , , , , , send_share, CPU: 2.248168 ms, wall: 2.290379 ms, 1
[18:45:13.105], STTP, 19, <--, CLIENT, 50, list, 590a3833, ROUTE, , , 1
[18:45:13.107], STTP, 19, -->, CLIENT, 50, list, 816fb2ca, ROUTE, , , 1
[18:45:13.108], STTP, 19, , , , , , send_share, CPU: 2.131205 ms, wall: 2.171530 ms, 1
[18:45:13.119], STTP, 19, <--, CLIENT, 28, list, 37ab3eb5, ROUTE, , , 1
[18:45:13.121], STTP, 19, -->, CLIENT, 28, list, a4fb4162, ROUTE, , , 1
[18:45:13.122], STTP, 19, , , , , , send_share, CPU: 1.192934 ms, wall: 2.626537 ms, 1
[18:45:13.143], STTP, 19, <--, CLIENT, 94, list, e6dd0523, ROUTE, , , 1
[18:45:13.145], STTP, 19, -->, CLIENT, 94, list, d55e3c5f, ROUTE, , , 1
