[18:45:10.519], STTP, 3, <--, MIX, 11, list, 6c6142c0, SETUP, , , 1
[18:45:10.520], STTP, 3, , , , , , store_share, CPU: 0.035148 ms, wall: 0.033552 ms, 1
[18:45:12.539], STTP, 3, <--, CLIENT, 87, list, d0c89cc3, ROUTE, , , 1
[18:45:12.540], STTP, 3, -->, CLIENT, 87, list, bf314231, ROUTE, , , 1
[18:45:12.540], STTP, 3, , , , , , send_share, CPU: 0.864205 ms, wall: 0.873301 ms, 1
[18:45:12.540], STTP, 3, <--, CLIENT, 85, list, fa539e38, ROUTE, , , 1
[18:45:12.542], STTP, 3, -->, CLIENT, 85, list, 49fbf93e, ROUTE, , , 1
[18:45:12.542], STTP, 3, , , , , , send_share, CPU: 0.877333 ms, wall: 0.879020 ms, 1
[18:45:12.665], STTP, 3, <--, CLIENT, 56, list, c9bca064, ROUTE, , , 1
[18:45:12.665], STTP, 3, -->, CLIENT, 56, list, 0a620ae4, ROUTE, , , 1
[18:45:12.666], STTP, 3, , , , , , send_share, CPU: 0.747816 ms, wall: 0.761107 ms, 1
[18:45:12.706], STTP, 3, <--, CLIENT, 44, list, f4c7a294, ROUTE, , , 1
[18:45:12.706], STTP, 3, -->, CLIENT, 44, list, fb055eea, ROUTE, , , 1
[18:45:12.707], STTP, 3, , , , , , send_share, CPU: 0.813971 ms, wall: 0.843364 ms, 1
[18:45:12.943], STTP, 3, <--, CLIENT, 34, list, 4f2c15e4, ROUTE, , , 1
[18:45:12.943], STTP, 3, -->, CLIENT, 34, list, c7b6d764, ROUTE, , , 1
[18:45:12.944], STTP, 3, , , , , , send_share, CPU: 0.775994 ms, wall: 0.788545 ms, 1
[18:45:12.957], STTP, 3, <--, CLIENT, 93, list, 8458fa1c, ROUTE, , , 1
[18:45:12.958], STTP, 3, -->, CLIENT, 93, list, a91f9ffb, ROUTE, , , 1
[18:45:12.959], STTP, 3, , , , , , send_share, CPU: 1.151445 ms, wall: 1.168910 ms, 1
[18:45:13.058], STTP, 3, <--, CLIENT, 75, list, 238bc153, ROUTE, , , 1
[18:45:13.059], STTP, 3, -->, CLIENT, 75, list, efe41c70, ROUTE, , , 1
[18:45:13.059], STTP, 3, , , , , , send_share, CPU: 0.828228 ms, wall: 0.839088 ms, 1
[18:45:13.078], STTP, 3, <--, CLIENT, 33, list, 0f3dd4e9, ROUTE, , , 1
[18:45:13.079], STTP, 3, -->, CLIENT, 33, list, be75728a, ROUTE, , , 1
[18:45:13.079], STTP, 3, , , , , , send_share, CPU: 0.949780 ms, wall: 0.972497 ms, 1
[18:45:13.094], STTP, 3, <--, CLIENT, 64, list, 3f778787, ROUTE, , , 1
[18:45:13.095], STTP, 3, -->, CLIENT, 64, list, 4312dbc5, ROUTE, , , 1
[18:45:13.096], STTP, 3, , , , , , send_share, CPU: 0.854897 ms, wall: 0.867966 ms, 1
[18:45:13.105], STTP, 3, <--, CLIENT, 50, list, 590a3833, ROUTE, , , 1
[18:45:13.106], STTP, 3, -->, CLIENT, 50, list, 74fbf501, ROUTE, , , 1
[18:45:13.106], STTP, 3, , , , , , send_share, CPU: 1.093535 ms, wall: 1.106532 ms, 1
[18:45:13.117], STTP, 3, <--, CLIENT, 70, list, 545edca6, ROUTE, , , 1
[18:45:13.120], STTP, 3, -->, CLIENT, 70, list, 8b46ffbd, ROUTE, , , 1
[18:45:13.120], STTP, 3, , , , , , send_share, CPU: 2.241159 ms, wall: 2.275794 ms, 1
[18:45:13.159], STTP, 3, <--, CLIENT, 95, list, e23750ef, ROUTE, , , 1
[18:45:13.160], STTP, 3, -->, CLIENT, 95, list, effeef27, ROUTE, , , 1
[18:45:13.162], STTP, 3, , , , , , send_share, CPU: 1.168122 ms, wall: 3.125427 ms, 1
[18:45:13.192], STTP, 3, <--, CLIENT, 73, list, 27da77ec, ROUTE, , , 1
[18:45:13.193], STTP, 3, -->, CLIENT, 73, list, b65f07c9, ROUTE, , , 1
[18:45:13.194], STTP, 3, , , , , , send_share, CPU: 1.181061 ms, wall: 1.194025 ms, 1
[18:45:13.202], STTP, 3, <--, CLIENT, 90, list, 4fd2e030, ROUTE, , , 1
[18:45:13.203], STTP, 3, -->, CLIENT, 90, list, b156cbc8, ROUTE, , , 1
[18:45:13.204], STTP, 3, , , , , , send_share, CPU: 1.115746 ms, wall: 1.157664 ms, 1
[18:45:13.214], STTP, 3, <--, CLIENT, 98, list, 48d2378c, ROUTE, , , 1
[18:45:13.227], STTP, 3, -->, CLIENT, 98, list, 380d70f2, ROUTE, , , 1
[18:45:13.227], STTP, 3, , , , , , send_share, CPU: 1.204244 ms, wall: 1.218251 ms, 1
[18:45:13.228], STTP, 3, <--, CLIENT, 31, list, 71591690, ROUTE, , , 1
[18:45:13.229], STTP, 3, -->, CLIENT, 31, list, c9779f81, ROUTE, , , 1
[18:45:13.229], STTP, 3, , , , , , send_share, CPU: 0.969469 ms, wall: 0.979586 ms, 1
[18:45:13.253], STTP, 3, <--, CLIENT, 89, list, ccbbe7b1, ROUTE, , , 1
[18:45:13.254], STTP, 3, -->, CLIENT, 89, list, dd12ecc0, ROUTE, , , 1
[18:45:13.254], STTP, 3, , , , , , send_share, CPU: 1.119160 ms, wall: 1.133736 ms, 1
