[18:45:12.942], STTP, 16, -->, CLIENT, 54, list, 42b70b1c, ROUTE, , , 1
[18:45:12.943], STTP, 16, , , , , , send_share, CPU: 2.293366 ms, wall: 2.322455 ms, 1
[18:45:13.009], STTP, 16, <--, CLIENT, 24, list, 4a3b114e, ROUTE, , , 1
[18:45:13.012], STTP, 16, -->, CLIENT, 24, list, a6f4ecfa, ROUTE, , , 1
[18:45:13.013], STTP, 16, , , , , , send_share, CPU: 2.344077 ms, wall: 3.177042 ms, 1
[18:45:13.031], STTP, 16, <--, CLIENT, 63, list, 580fb789, ROUTE, , , 1
[18:45:13.032], STTP, 16, -->, CLIENT, 63, list, 2bb7b02d, ROUTE, , , 1
[18:45:13.032], STTP, 16, , , , , , send_share, CPU: 0.861082 ms, wall: 0.875464 ms, 1
[18:45:13.070], STTP, 16, <--, CLIENT, 71, list, 330b28f3, ROUTE, , , 1
[18:45:13.071], STTP, 16, -->, CLIENT, 71, list, 3b16836c, ROUTE, , , 1
[18:45:13.072], STTP, 16, , , , , , send_share, CPU: 1.256799 ms, wall: 1.272077 ms, 1
[18:45:13.073], STTP, 16, <--, CLIENT, 48, list, 3974d56a, ROUTE, , , 1
[18:45:13.075], STTP, 16, -->, CLIENT, 48, list, 0f8a4df6, ROUTE, , , 1
[18:45:13.075], STTP, 16, , , , , , send_share, CPU: 1.266825 ms, wall: 1.288620 ms, 1
[18:45:13.075], STTP, 16, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.076], STTP, 16, -->, CLIENT, 68, list, 288a2d14, ROUTE, , , 1
[18:45:13.076], STTP, 16, , , , , , send_share, CPU: 0.716464 ms, wall: 0.727183 ms, 1
[18:45:13.095], STTP, 16, <--, CLIENT, 64, list, 3f778787, ROUTE, , , 1
[18:45:13.097], STTP, 16, -->, CLIENT, 64, list, bac90cbc, ROUTE, , , 1
[18:45:13.097], STTP, 16, , , , , , send_share, CPU: 2.177740 ms, wall: 2.208097 ms, 1
[18:45:13.098], STTP, 16, <--, CLIENT, 19, list, f4dbf934, ROUTE, , , 1
[18:45:13.100], STTP, 16, -->, CLIENT, 19, list, f2731e0c, ROUTE, , , 1
[18:45:13.100], STTP, 16, , , , , , send_share, CPU: 2.189402 ms, wall: 2.217832 ms, 1
[18:45:13.108], STTP, 16, <--, CLIENT, 9, list, 8a9f1c15, ROUTE, , , 1
[18:45:13.109], STTP, 16, -->, CLIENT, 9, list, 248601ad, ROUTE, , , 1
[18:45:13.109], STTP, 16, , , , , , send_share, CPU: 0.963261 ms, wall: 0.982475 ms, 1
[18:45:13.113], STTP, 16, <--, CLIENT, 65, list, ab70e6bb, ROUTE, , , 1
[18:45:13.114], STTP, 16, -->, CLIENT, 65, list, 5fe1c6f2, ROUTE, , , 1
[18:45:13.115], STTP, 16, , , , , , send_share, CPU: 2.248797 ms, wall: 2.317825 ms, 1
[18:45:13.117], STTP, 16, <--, CLIENT, 70, list, 545edca6, ROUTE, , , 1
[18:45:13.120], STTP, 16, -->, CLIENT, 70, list, a2fd8043, ROUTE, , , 1
[18:45:13.128], STTP, 16, , , , , , send_share, CPU: 2.162820 ms, wall: 9.193024 ms, 1
[18:45:13.129], STTP, 16, <--, CLIENT, 97, list, 078a9a97, ROUTE, , , 1
[18:45:13.132], STTP, 16, -->, CLIENT, 97, list, 083c1093, ROUTE, , , 1
[18:45:13.137], STTP, 16, , , , , , send_share, CPU: 2.279731 ms, wall: 8.603592 ms, 1
[18:45:13.138], STTP, 16, <--, CLIENT, 16, list, 7295c272, ROUTE, , , 1
[18:45:13.145], STTP, 16, -->, CLIENT, 16, list, e772562d, ROUTE, , , 1
