[18:45:10.444], STTP, 8, , , , , , store_share, CPU: 0.007472 ms, wall: 0.005583 ms, 1
[18:45:10.534], STTP, 8, <--, MIX, 11, list, a8810423, SETUP, , , 1
[18:45:10.534], STTP, 8, , , , , , store_share, CPU: 0.029138 ms, wall: 0.028094 ms, 1
[18:45:12.296], STTP, 8, <--, CLIENT, 6, list, 7db8d568, ROUTE, , , 1
[18:45:12.298], STTP, 8, -->, CLIENT, 6, list, 6416b1bb, ROUTE, , , 1
[18:45:12.298], STTP, 8, , , , , , send_share, CPU: 2.210713 ms, wall: 2.234250 ms, 1
[18:45:12.539], STTP, 8, <--, CLIENT, 20, list, 5d3d0408, ROUTE, , , 1
[18:45:12.541], STTP, 8, -->, CLIENT, 20, list, 84cc36ac, ROUTE, , , 1
[18:45:12.542], STTP, 8, , , , , , send_share, CPU: 2.152448 ms, wall: 2.182743 ms, 1
[18:45:12.754], STTP, 8, <--, CLIENT, 91, list, 92150671, ROUTE, , , 1
[18:45:12.755], STTP, 8, -->, CLIENT, 91, list, 3ccf53c4, ROUTE, , , 1
[18:45:12.756], STTP, 8, , , , , , send_share, CPU: 0.760966 ms, wall: 0.778568 ms, 1
[18:45:12.784], STTP, 8, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.785], STTP, 8, -->, CLIENT, 14, list, aec0f6d0, ROUTE, , , 1
[18:45:12.785], STTP, 8, , , , , , send_share, CPU: 0.773972 ms, wall: 0.784654 ms, 1
[18:45:12.813], STTP, 8, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.815], STTP, 8, -->, CLIENT, 43, list, 4da45f53, ROUTE, , , 1
[18:45:12.816], STTP, 8, , , , , , send_share, CPU: 2.250795 ms, wall: 2.279664 ms, 1
[18:45:12.831], STTP, 8, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.832], STTP, 8, -->, CLIENT, 27, list, 8e0a0a29, ROUTE, , , 1
[18:45:12.832], STTP, 8, , , , , , send_share, CPU: 0.772378 ms, wall: 0.785769 ms, 1
[18:45:12.835], STTP, 8, <--, CLIENT, 67, list, 14e04559, ROUTE, , , 1
[18:45:12.835], STTP, 8, -->, CLIENT, 67, list, f874aac9, ROUTE, , , 1
[18:45:12.835], STTP, 8, , , , , , send_share, CPU: 0.711155 ms, wall: 0.722043 ms, 1
[18:45:12.912], STTP, 8, <--, CLIENT, 29, list, 7d43c232, ROUTE, , , 1
[18:45:12.914], STTP, 8, -->, CLIENT, 29, list, 496d259e, ROUTE, , , 1
[18:45:12.914], STTP, 8, , , , , , send_share, CPU: 2.243283 ms, wall: 2.279506 ms, 1
[18:45:12.977], STTP, 8, <--, CLIENT, 69, list, dd5d5a5d, ROUTE, , , 1
[18:45:12.979], STTP, 8, -->, CLIENT, 69, list, 8cff8685, ROUTE, , , 1
[18:45:12.980], STTP, 8, , , , , , send_share, CPU: 2.111272 ms, wall: 2.136674 ms, 1
[18:45:12.988], STTP, 8, <--, CLIENT, 12, list, 9c281521, ROUTE, , , 1
[18:45:12.990], STTP, 8, -->, CLIENT, 12, list, c1b30ff4, ROUTE, , , 1
[18:45:12.991], STTP, 8, , , , , , send_share, CPU: 2.164974 ms, wall: 2.197133 ms, 1
[18:45:13.006], STTP, 8, <--, CLIENT, 81, list, 9d5ab82d, ROUTE, , , 1
[18:45:13.007], STTP, 8, -->, CLIENT, 81, list, 8baf56d4, ROUTE, , , 1
[18:45:13.007], STTP, 8, , , , , , send_share, CPU: 0.804744 ms, wall: 0.817285 ms, 1
[18:45:13.009], STTP, 8, <--, CLIENT, 24, list, 4a3b114e, ROUTE, , , 1
[18:45:13.011], STTP, 8, -->, CLIENT, 24, list, 6b66f997, ROUTE, , , 1
[18:45:13.012], STTP, 8, , , , , , send_share, CPU: 2.273501 ms, wall: 2.322501 ms, 1
