[18:45:10.554], STTP, 15, , , , , , store_share, CPU: 0.036838 ms, wall: 0.034834 ms, 1
[18:45:12.334], STTP, 15, <--, CLIENT, 4, list, 85db7534, ROUTE, , , 1
[18:45:12.336], STTP, 15, -->, CLIENT, 4, list, e014af9f, ROUTE, , , 1
[18:45:12.337], STTP, 15, , , , , , send_share, CPU: 1.635308 ms, wall: 1.683316 ms, 1
[18:45:12.563], STTP, 15, <--, CLIENT, 1, list, bd48eb5b, ROUTE, , , 1
[18:45:12.565], STTP, 15, -->, CLIENT, 1, list, 7a6636a4, ROUTE, , , 1
[18:45:12.566], STTP, 15, , , , , , send_share, CPU: 2.227259 ms, wall: 2.259938 ms, 1
[18:45:12.665], STTP, 15, <--, CLIENT, 56, list, c9bca064, ROUTE, , , 1
[18:45:12.667], STTP, 15, -->, CLIENT, 56, list, f222df79, ROUTE, , , 1
[18:45:12.667], STTP, 15, , , , , , send_share, CPU: 2.095685 ms, wall: 2.123049 ms, 1
[18:45:12.885], STTP, 15, <--, CLIENT, 36, list, 52c3f289, ROUTE, , , 1
[18:45:12.887], STTP, 15, -->, CLIENT, 36, list, 73ca447d, ROUTE, , , 1
[18:45:12.888], STTP, 15, , , , , , send_share, CPU: 1.913412 ms, wall: 1.962906 ms, 1
[18:45:12.888], STTP, 15, <--, CLIENT, 25, list, 30f0704c, ROUTE, , , 1
[18:45:12.888], STTP, 15, -->, CLIENT, 25, list, 73b19c07, ROUTE, , , 1
[18:45:12.889], STTP, 15, , , , , , send_share, CPU: 0.670658 ms, wall: 0.679954 ms, 1
[18:45:12.912], STTP, 15, <--, CLIENT, 29, list, 7d43c232, ROUTE, , , 1
[18:45:12.913], STTP, 15, -->, CLIENT, 29, list, 636de27a, ROUTE, , , 1
[18:45:12.913], STTP, 15, , , , , , send_share, CPU: 0.793140 ms, wall: 0.805728 ms, 1
[18:45:12.935], STTP, 15, <--, CLIENT, 2, list, 140ba017, ROUTE, , , 1
[18:45:12.937], STTP, 15, -->, CLIENT, 2, list, dadf25d5, ROUTE, , , 1
[18:45:12.938], STTP, 15, , , , , , send_share, CPU: 2.215543 ms, wall: 2.247145 ms, 1
[18:45:12.988], STTP, 15, <--, CLIENT, 12, list, 9c281521, ROUTE, , , 1
[18:45:12.991], STTP, 15, -->, CLIENT, 12, list, 95343504, ROUTE, , , 1
[18:45:12.991], STTP, 15, , , , , , send_share, CPU: 2.209932 ms, wall: 2.421903 ms, 1
[18:45:12.997], STTP, 15, <--, CLIENT, 40, list, efbab566, ROUTE, , , 1
[18:45:12.998], STTP, 15, -->, CLIENT, 40, list, a2c6223e, ROUTE, , , 1
[18:45:12.998], STTP, 15, , , , , , send_share, CPU: 0.735350 ms, wall: 0.740131 ms, 1
[18:45:13.006], STTP, 15, <--, CLIENT, 81, list, 9d5ab82d, ROUTE, , , 1
[18:45:13.008], STTP, 15, -->, CLIENT, 81, list, 003736c0, ROUTE, , , 1
[18:45:13.008], STTP, 15, , , , , , send_share, CPU: 1.433128 ms, wall: 1.472033 ms, 1
[18:45:13.010], STTP, 15, <--, CLIENT, 24, list, 4a3b114e, ROUTE, , , 1
