[18:45:12.630], STTP, 1, <--, CLIENT, 37, list, 8e549920, ROUTE, , , 1
[18:45:12.631], STTP, 1, -->, CLIENT, 37, list, 7e00c0cb, ROUTE, , , 1
[18:45:12.631], STTP, 1, , , , , , send_share, CPU: 0.959232 ms, wall: 0.972603 ms, 1
[18:45:12.754], STTP, 1, <--, CLIENT, 91, list, 92150671, ROUTE, , , 1
[18:45:12.755], STTP, 1, -->, CLIENT, 91, list, 362232b1, ROUTE, , , 1
[18:45:12.756], STTP, 1, , , , , , send_share, CPU: 2.139250 ms, wall: 2.173266 ms, 1
[18:45:12.767], STTP, 1, <--, CLIENT, 45, list, 75a33c3e, ROUTE, , , 1
[18:45:12.769], STTP, 1, -->, CLIENT, 45, list, 520d59ad, ROUTE, , , 1
[18:45:12.769], STTP, 1, , , , , , send_share, CPU: 1.669692 ms, wall: 1.716326 ms, 1
[18:45:12.788], STTP, 1, <--, CLIENT, 11, list, d465cef7, ROUTE, , , 1
[18:45:12.790], STTP, 1, -->, CLIENT, 11, list, 3e5264e6, ROUTE, , , 1
[18:45:12.791], STTP, 1, , , , , , send_share, CPU: 2.169026 ms, wall: 2.208956 ms, 1
[18:45:12.813], STTP, 1, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.815], STTP, 1, -->, CLIENT, 43, list, d1fca908, ROUTE, , , 1
[18:45:12.816], STTP, 1, , , , , , send_share, CPU: 2.258998 ms, wall: 2.306220 ms, 1
[18:45:12.835], STTP, 1, <--, CLIENT, 67, list, 14e04559, ROUTE, , , 1
[18:45:12.836], STTP, 1, -->, CLIENT, 67, list, b6d1afab, ROUTE, , , 1
[18:45:12.837], STTP, 1, , , , , , send_share, CPU: 2.150087 ms, wall: 2.186042 ms, 1
[18:45:12.885], STTP, 1, <--, CLIENT, 36, list, 52c3f289, ROUTE, , , 1
[18:45:12.886], STTP, 1, -->, CLIENT, 36, list, 7fcf5068, ROUTE, , , 1
[18:45:12.886], STTP, 1, , , , , , send_share, CPU: 0.843039 ms, wall: 0.849800 ms, 1
[18:45:12.888], STTP, 1, <--, CLIENT, 25, list, 30f0704c, ROUTE, , , 1
[18:45:12.889], STTP, 1, -->, CLIENT, 25, list, 497eafa4, ROUTE, , , 1
[18:45:12.890], STTP, 1, , , , , , send_share, CPU: 1.380474 ms, wall: 1.402889 ms, 1
[18:45:12.911], STTP, 1, <--, CLIENT, 29, list, 7d43c232, ROUTE, , , 1
[18:45:12.912], STTP, 1, -->, CLIENT, 29, list, d3abf84c, ROUTE, , , 1
[18:45:12.912], STTP, 1, , , , , , send_share, CPU: 0.795828 ms, wall: 0.808231 ms, 1
[18:45:12.933], STTP, 1, <--, CLIENT, 51, list, 7b3586d8, ROUTE, , , 1
[18:45:12.934], STTP, 1, -->, CLIENT, 51, list, d56d88ef, ROUTE, , , 1
[18:45:12.934], STTP, 1, , , , , , send_share, CPU: 0.774657 ms, wall: 0.786073 ms, 1
[18:45:12.935], STTP, 1, <--, CLIENT, 2, list, 140ba017, ROUTE, , , 1
[18:45:12.936], STTP, 1, -->, CLIENT, 2, list, 86fa4891, ROUTE, , , 1
[18:45:12.937], STTP, 1, , , , , , send_share, CPU: 2.245862 ms, wall: 2.299669 ms, 1
[18:45:12.961], STTP, 1, <--, CLIENT, 55, list, f1e62ade, ROUTE, , , 1
[18:45:12.962], STTP, 1, -->, CLIENT, 55, list, 78ce9d69, ROUTE, , , 1
[18:45:12.962], STTP, 1, , , , , , send_share, CPU: 0.723090 ms, wall: 0.732184 ms, 1
[18:45:12.988], STTP, 1, <--, CLIENT, 12, list, 9c281521, ROUTE, , , 1
[18:45:12.990], STTP, 1, -->, CLIENT, 12, list, 9c063d80, ROUTE, , , 1
[18:45:12.991], STTP, 1, , , , , , send_share, CPU: 2.151356 ms, wall: 2.187793 ms, 1
[18:45:12.991], STTP, 1, <--, CLIENT, 26, list, c42d0595, ROUTE, , , 1
[18:45:12.992], STTP, 1, -->, CLIENT, 26, list, 32e4ba3b, ROUTE, , , 1
[18:45:12.992], STTP, 1, , , , , , send_share, CPU: 0.734493 ms, wall: 0.738268 ms, 1
[18:45:12.997], STTP, 1, <--, CLIENT, 40, list, efbab566, ROUTE, , , 1
[18:45:12.998], STTP, 1, -->, CLIENT, 40, list, 668f8c97, ROUTE, , , 1
[18:45:12.998], STTP, 1, , , , , , send_share, CPU: 0.808575 ms, wall: 0.821540 ms, 1
[18:45:13.010], STTP, 1, <--, CLIENT, 24, list, 4a3b114e, ROUTE, , , 1
[18:45:13.011], STTP, 1, -->, CLIENT, 24, list, 7e80dc65, ROUTE, , , 1
[18:45:13.011], STTP, 1, , , , , , send_share, CPU: 0.887986 ms, wall: 0.891960 ms, 1
[18:45:13.020], STTP, 1, <--, CLIENT, 41, list, 8a681f18, ROUTE, , , 1
[18:45:13.022], STTP, 1, -->, CLIENT, 41, list, 43b4d9df, ROUTE, , , 1
[18:45:13.022], STTP, 1, , , , , , send_share, CPU: 2.159004 ms, wall: 2.192347 ms, 1
[18:45:13.071], STTP, 1, <--, CLIENT, 38, list, e2996dd0, ROUTE, , , 1
