[18:45:12.541], STTP, 5, <--, CLIENT, 20, list, 5d3d0408, ROUTE, , , 1
[18:45:12.542], STTP, 5, -->, CLIENT, 20, list, 0467ec5e, ROUTE, , , 1
[18:45:12.542], STTP, 5, , , , , , send_share, CPU: 0.830683 ms, wall: 0.835784 ms, 1
[18:45:12.754], STTP, 5, <--, CLIENT, 91, list, 92150671, ROUTE, , , 1
[18:45:12.756], STTP, 5, -->, CLIENT, 91, list, ba6c3ac0, ROUTE, , , 1
[18:45:12.757], STTP, 5, , , , , , send_share, CPU: 2.128638 ms, wall: 2.156361 ms, 1
[18:45:12.784], STTP, 5, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.785], STTP, 5, -->, CLIENT, 14, list, f6ca8fe6, ROUTE, , , 1
[18:45:12.785], STTP, 5, , , , , , send_share, CPU: 0.816420 ms, wall: 0.828837 ms, 1
[18:45:12.813], STTP, 5, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.815], STTP, 5, -->, CLIENT, 43, list, 93a73794, ROUTE, , , 1
[18:45:12.815], STTP, 5, , , , , , send_share, CPU: 2.289005 ms, wall: 2.324185 ms, 1
[18:45:12.832], STTP, 5, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.833], STTP, 5, -->, CLIENT, 27, list, 6773bbbc, ROUTE, , , 1
[18:45:12.833], STTP, 5, , , , , , send_share, CPU: 0.752531 ms, wall: 0.757330 ms, 1
[18:45:13.072], STTP, 5, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.073], STTP, 5, -->, CLIENT, 68, list, e09cd6ad, ROUTE, , , 1
[18:45:13.074], STTP, 5, , , , , , send_share, CPU: 1.072044 ms, wall: 1.806935 ms, 1
[18:45:13.089], STTP, 5, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.090], STTP, 5, -->, CLIENT, 47, list, 5dc62433, ROUTE, , , 1
[18:45:13.090], STTP, 5, , , , , , send_share, CPU: 1.144115 ms, wall: 1.162424 ms, 1
[18:45:13.096], STTP, 5, <--, CLIENT, 19, list, f4dbf934, ROUTE, , , 1
[18:45:13.098], STTP, 5, -->, CLIENT, 19, list, 15ff4e24, ROUTE, , , 1
[18:45:13.098], STTP, 5, , , , , , send_share, CPU: 2.235391 ms, wall: 2.264656 ms, 1
[18:45:13.112], STTP, 5, <--, CLIENT, 65, list, ab70e6bb, ROUTE, , , 1
[18:45:13.114], STTP, 5, -->, CLIENT, 65, list, 9ac60028, ROUTE, , , 1
[18:45:13.114], STTP, 5, , , , , , send_share, CPU: 2.186212 ms, wall: 2.220095 ms, 1
[18:45:13.119], STTP, 5, <--, CLIENT, 28, list, 37ab3eb5, ROUTE, , , 1
[18:45:13.121], STTP, 5, -->, CLIENT, 28, list, 42038c1d, ROUTE, , , 1
[18:45:13.122], STTP, 5, , , , , , send_share, CPU: 2.162337 ms, wall: 2.193018 ms, 1
[18:45:13.133], STTP, 5, <--, CLIENT, 35, list, 4960d8b1, ROUTE, , , 1
[18:45:13.134], STTP, 5, -->, CLIENT, 35, list, 8e4e581e, ROUTE, , , 1
[18:45:13.135], STTP, 5, , , , , , send_share, CPU: 1.208591 ms, wall: 1.240108 ms, 1
[18:45:13.135], STTP, 5, <--, CLIENT, 62, list, 933930e9, ROUTE, , , 1
[18:45:13.136], STTP, 5, -->, CLIENT, 62, list, 7fb8c609, ROUTE, , , 1
[18:45:13.136], STTP, 5, , , , , , send_share, CPU: 1.063933 ms, wall: 1.083598 ms, 1
[18:45:13.153], STTP, 5, <--, CLIENT, 17, list, 02e56cdd, ROUTE, , , 1
[18:45:13.154], STTP, 5, -->, CLIENT, 17, list, 481727a4, ROUTE, , , 1
[18:45:13.155], STTP, 5, , , , , , send_share, CPU: 1.185308 ms, wall: 1.198812 ms, 1
[18:45:13.158], STTP, 5, <--, CLIENT, 86, list, 9cbd4e94, ROUTE, , , 1
[18:45:13.159], STTP, 5, -->, CLIENT, 86, list, 8a4916b0, ROUTE, , , 1
[18:45:13.160], STTP, 5, , , , , , send_share, CPU: 1.210214 ms, wall: 1.944675 ms, 1
[18:45:13.203], STTP, 5, <--, CLIENT, 77, list, 60bdcdf9, ROUTE, , , 1
[18:45:13.204], STTP, 5, -->, CLIENT, 77, list, 1fbf7758, ROUTE, , , 1
[18:45:13.210], STTP, 5, , , , , , send_share, CPU: 1.260484 ms, wall: 6.553481 ms, 1
[18:45:13.211], STTP, 5, <--, CLIENT, 100, list, 25f518db, ROUTE, , , 1
[18:45:13.212], STTP, 5, -->, CLIENT, 100, list, 095f1884, ROUTE, , , 1
[18:45:13.224], STTP, 5, , , , , , send_share, CPU: 1.310029 ms, wall: 13.147783 ms, 1
[18:45:13.225], STTP, 5, <--, CLIENT, 78, list, c11aa333, ROUTE, , , 1
[18:45:13.226], STTP, 5, -->, CLIENT, 78, list, 40745856, ROUTE, , , 1
[18:45:13.230], STTP, 5, , , , , , send_share, CPU: 1.211968 ms, wall: 5.236349 ms, 1
[18:45:13.230], STTP, 5, <--, CLIENT, 66, list, 9e67068e, ROUTE, , , 1
[18:45:13.231], STTP, 5, -->, CLIENT, 66, list, 1c0b3566, ROUTE, , , 1
[18:45:13.235], STTP, 5, , , , , , send_share, CPU: 1.178611 ms, wall: 4.358456 ms, 1
