[18:45:12.631], STTP, 14, , , , , , send_share, CPU: 0.765163 ms, wall: 0.776910 ms, 1
[18:45:12.767], STTP, 14, <--, CLIENT, 45, list, 75a33c3e, ROUTE, , , 1
[18:45:12.768], STTP, 14, -->, CLIENT, 45, list, 051f98f8, ROUTE, , , 1
[18:45:12.769], STTP, 14, , , , , , send_share, CPU: 1.942381 ms, wall: 1.975864 ms, 1
[18:45:12.814], STTP, 14, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.815], STTP, 14, -->, CLIENT, 43, list, 83d659f5, ROUTE, , , 1
[18:45:12.815], STTP, 14, , , , , , send_share, CPU: 0.829858 ms, wall: 0.836434 ms, 1
[18:45:12.832], STTP, 14, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.833], STTP, 14, -->, CLIENT, 27, list, eb4486f6, ROUTE, , , 1
[18:45:12.834], STTP, 14, , , , , , send_share, CPU: 1.476243 ms, wall: 1.501086 ms, 1
[18:45:12.834], STTP, 14, <--, CLIENT, 67, list, 14e04559, ROUTE, , , 1
[18:45:12.836], STTP, 14, -->, CLIENT, 67, list, eadbccb8, ROUTE, , , 1
[18:45:12.837], STTP, 14, , , , , , send_share, CPU: 2.168941 ms, wall: 2.201838 ms, 1
[18:45:12.860], STTP, 14, <--, CLIENT, 42, list, 3d1d269d, ROUTE, , , 1
[18:45:12.861], STTP, 14, -->, CLIENT, 42, list, 45aca21c, ROUTE, , , 1
[18:45:12.861], STTP, 14, , , , , , send_share, CPU: 0.774302 ms, wall: 0.788456 ms, 1
[18:45:12.996], STTP, 14, <--, CLIENT, 21, list, a42ca0ab, ROUTE, , , 1
[18:45:12.997], STTP, 14, -->, CLIENT, 21, list, 693d876c, ROUTE, , , 1
[18:45:12.997], STTP, 14, , , , , , send_share, CPU: 0.852473 ms, wall: 0.858245 ms, 1
[18:45:13.045], STTP, 14, <--, CLIENT, 8, list, b25478c4, ROUTE, , , 1
[18:45:13.046], STTP, 14, -->, CLIENT, 8, list, 6dca4ed6, ROUTE, , , 1
[18:45:13.046], STTP, 14, , , , , , send_share, CPU: 0.851854 ms, wall: 0.865641 ms, 1
[18:45:13.071], STTP, 14, <--, CLIENT, 38, list, e2996dd0, ROUTE, , , 1
[18:45:13.071], STTP, 14, -->, CLIENT, 38, list, 5e15c864, ROUTE, , , 1
[18:45:13.072], STTP, 14, , , , , , send_share, CPU: 1.084912 ms, wall: 1.099134 ms, 1
[18:45:13.078], STTP, 14, <--, CLIENT, 33, list, 0f3dd4e9, ROUTE, , , 1
[18:45:13.079], STTP, 14, -->, CLIENT, 33, list, f64fbd4e, ROUTE, , , 1
[18:45:13.080], STTP, 14, , , , , , send_share, CPU: 1.153609 ms, wall: 1.168148 ms, 1
[18:45:13.096], STTP, 14, <--, CLIENT, 19, list, f4dbf934, ROUTE, , , 1
[18:45:13.097], STTP, 14, -->, CLIENT, 19, list, e35ed225, ROUTE, , , 1
[18:45:13.097], STTP, 14, , , , , , send_share, CPU: 0.794258 ms, wall: 0.805967 ms, 1
[18:45:13.112], STTP, 14, <--, CLIENT, 65, list, ab70e6bb, ROUTE, , , 1
[18:45:13.113], STTP, 14, -->, CLIENT, 65, list, 1c362e96, ROUTE, , , 1
[18:45:13.113], STTP, 14, , , , , , send_share, CPU: 0.752145 ms, wall: 0.766461 ms, 1
[18:45:13.116], STTP, 14, <--, CLIENT, 97, list, 078a9a97, ROUTE, , , 1
[18:45:13.118], STTP, 14, -->, CLIENT, 97, list, 2af7932c, ROUTE, , , 1
[18:45:13.119], STTP, 14, , , , , , send_share, CPU: 1.344861 ms, wall: 2.391427 ms, 1
[18:45:13.129], STTP, 14, <--, CLIENT, 74, list, c7f5ff6b, ROUTE, , , 1
[18:45:13.132], STTP, 14, -->, CLIENT, 74, list, 26b48aaf, ROUTE, , , 1
[18:45:13.139], STTP, 14, , , , , , send_share, CPU: 1.597196 ms, wall: 10.151287 ms, 1
[18:45:13.154], STTP, 14, <--, CLIENT, 17, list, 02e56cdd, ROUTE, , , 1
[18:45:13.162], STTP, 14, -->, CLIENT, 17, list, 310c971d, ROUTE, , , 1
[18:45:13.163], STTP, 14, , , , , , send_share, CPU: 2.243825 ms, wall: 8.308630 ms, 1
[18:45:13.183], STTP, 14, <--, CLIENT, 5, list, 8a799af7, ROUTE, , , 1
[18:45:13.187], STTP, 14, -->, CLIENT, 5, list, 5dd00853, ROUTE, , , 1
