[18:45:13.137], STTP, 12, -->, CLIENT, 62, list, b8e8a65f, ROUTE, , , 1
[18:45:13.137], STTP, 12, , , , , , send_share, CPU: 1.130983 ms, wall: 1.186778 ms, 1
[18:45:13.154], STTP, 12, <--, CLIENT, 23, list, 292af744, ROUTE, , , 1
[18:45:13.155], STTP, 12, -->, CLIENT, 23, list, b7b5336e, ROUTE, , , 1
[18:45:13.156], STTP, 12, , , , , , send_share, CPU: 1.135134 ms, wall: 1.400352 ms, 1
[18:45:13.164], STTP, 12, <--, CLIENT, 86, list, 9cbd4e94, ROUTE, , , 1
[18:45:13.167], STTP, 12, -->, CLIENT, 86, list, bc03f53c, ROUTE, , , 1
[18:45:13.168], STTP, 12, , , , , , send_share, CPU: 1.255109 ms, wall: 3.694862 ms, 1
[18:45:13.168], STTP, 12, <--, CLIENT, 95, list, e23750ef, ROUTE, , , 1
[18:45:13.169], STTP, 12, -->, CLIENT, 95, list, 9910351c, ROUTE, , , 1
[18:45:13.169], STTP, 12, , , , , , send_share, CPU: 1.143622 ms, wall: 1.152272 ms, 1
[18:45:13.187], STTP, 12, <--, CLIENT, 96, list, a6d2ae2b, ROUTE, , , 1
[18:45:13.188], STTP, 12, -->, CLIENT, 96, list, 469c7678, ROUTE, , , 1
[18:45:13.188], STTP, 12, , , , , , send_share, CPU: 1.112216 ms, wall: 1.128106 ms, 1
[18:45:13.190], STTP, 12, <--, CLIENT, 88, list, 855d3120, ROUTE, , , 1
[18:45:13.191], STTP, 12, -->, CLIENT, 88, list, b8af4fef, ROUTE, , , 1
[18:45:13.192], STTP, 12, , , , , , send_share, CPU: 1.233997 ms, wall: 1.356244 ms, 1
[18:45:13.196], STTP, 12, <--, CLIENT, 52, list, 036f4951, ROUTE, , , 1
[18:45:13.197], STTP, 12, -->, CLIENT, 52, list, 4cdc6ab9, ROUTE, , , 1
[18:45:13.197], STTP, 12, , , , , , send_share, CPU: 1.162397 ms, wall: 1.175206 ms, 1
[18:45:13.204], STTP, 12, <--, CLIENT, 90, list, 4fd2e030, ROUTE, , , 1
[18:45:13.211], STTP, 12, -->, CLIENT, 90, list, d5f675a7, ROUTE, , , 1
[18:45:13.211], STTP, 12, , , , , , send_share, CPU: 1.173707 ms, wall: 1.186774 ms, 1
[18:45:13.211], STTP, 12, <--, CLIENT, 92, list, c5c03b80, ROUTE, , , 1
[18:45:13.212], STTP, 12, -->, CLIENT, 92, list, 8b5f118a, ROUTE, , , 1
[18:45:13.212], STTP, 12, , , , , , send_share, CPU: 1.065727 ms, wall: 1.073446 ms, 1
[18:45:13.220], STTP, 12, <--, CLIENT, 66, list, 9e67068e, ROUTE, , , 1
[18:45:13.223], STTP, 12, -->, CLIENT, 66, list, a874721b, ROUTE, , , 1
[18:45:13.224], STTP, 12, , , , , , send_share, CPU: 2.336614 ms, wall: 3.198798 ms, 1
[18:45:13.252], STTP, 12, <--, CLIENT, 89, list, ccbbe7b1, ROUTE, , , 1
[18:45:13.253], STTP, 12, -->, CLIENT, 89, list, becadcd6, ROUTE, , , 1
[18:45:13.253], STTP, 12, , , , , , send_share, CPU: 1.129982 ms, wall: 1.179082 ms, 1
