[18:45:12.824], STTP, 13, -->, CLIENT, 18, list, d060c5bc, ROUTE, , , 1
[18:45:12.824], STTP, 13, , , , , , send_share, CPU: 2.118566 ms, wall: 2.146555 ms, 1
[18:45:12.888], STTP, 13, <--, CLIENT, 25, list, 30f0704c, ROUTE, , , 1
[18:45:12.889], STTP, 13, -->, CLIENT, 25, list, 72457d56, ROUTE, , , 1
[18:45:12.889], STTP, 13, , , , , , send_share, CPU: 1.143553 ms, wall: 1.165634 ms, 1
[18:45:12.943], STTP, 13, <--, CLIENT, 34, list, 4f2c15e4, ROUTE, , , 1
[18:45:12.944], STTP, 13, -->, CLIENT, 34, list, af77a080, ROUTE, , , 1
[18:45:12.945], STTP, 13, , , , , , send_share, CPU: 0.849009 ms, wall: 0.872722 ms, 1
[18:45:12.961], STTP, 13, <--, CLIENT, 55, list, f1e62ade, ROUTE, , , 1
[18:45:12.962], STTP, 13, -->, CLIENT, 55, list, b445b3b4, ROUTE, , , 1
[18:45:12.962], STTP, 13, , , , , , send_share, CPU: 0.760358 ms, wall: 0.802121 ms, 1
[18:45:12.987], STTP, 13, <--, CLIENT, 39, list, c0937eb9, ROUTE, , , 1
[18:45:12.989], STTP, 13, -->, CLIENT, 39, list, b752717c, ROUTE, , , 1
[18:45:12.990], STTP, 13, , , , , , send_share, CPU: 2.270263 ms, wall: 2.320983 ms, 1
[18:45:13.045], STTP, 13, <--, CLIENT, 8, list, b25478c4, ROUTE, , , 1
[18:45:13.046], STTP, 13, -->, CLIENT, 8, list, 44547b2d, ROUTE, , , 1
[18:45:13.046], STTP, 13, , , , , , send_share, CPU: 0.781264 ms, wall: 0.792409 ms, 1
[18:45:13.070], STTP, 13, <--, CLIENT, 71, list, 330b28f3, ROUTE, , , 1
[18:45:13.071], STTP, 13, -->, CLIENT, 71, list, 585ba20b, ROUTE, , , 1
[18:45:13.071], STTP, 13, , , , , , send_share, CPU: 0.819217 ms, wall: 0.831648 ms, 1
[18:45:13.089], STTP, 13, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.091], STTP, 13, -->, CLIENT, 47, list, 672ddda2, ROUTE, , , 1
[18:45:13.092], STTP, 13, , , , , , send_share, CPU: 2.197146 ms, wall: 2.229537 ms, 1
[18:45:13.094], STTP, 13, <--, CLIENT, 64, list, 3f778787, ROUTE, , , 1
[18:45:13.095], STTP, 13, -->, CLIENT, 64, list, bceba4cb, ROUTE, , , 1
[18:45:13.095], STTP, 13, , , , , , send_share, CPU: 0.704595 ms, wall: 0.718961 ms, 1
[18:45:13.108], STTP, 13, <--, CLIENT, 9, list, 8a9f1c15, ROUTE, , , 1
[18:45:13.109], STTP, 13, -->, CLIENT, 9, list, f186c5f3, ROUTE, , , 1
[18:45:13.109], STTP, 13, , , , , , send_share, CPU: 1.127769 ms, wall: 1.142951 ms, 1
[18:45:13.122], STTP, 13, <--, CLIENT, 46, list, 10a8ff63, ROUTE, , , 1
[18:45:13.123], STTP, 13, -->, CLIENT, 46, list, bb341e75, ROUTE, , , 1
[18:45:13.124], STTP, 13, , , , , , send_share, CPU: 1.224105 ms, wall: 1.238128 ms, 1
[18:45:13.134], STTP, 13, <--, CLIENT, 61, list, 4de559d8, ROUTE, , , 1
[18:45:13.135], STTP, 13, -->, CLIENT, 61, list, d66da8dd, ROUTE, , , 1
[18:45:13.135], STTP, 13, , , , , , send_share, CPU: 1.201063 ms, wall: 1.218146 ms, 1
[18:45:13.162], STTP, 13, <--, CLIENT, 86, list, 9cbd4e94, ROUTE, , , 1
[18:45:13.163], STTP, 13, -->, CLIENT, 86, list, a8e9ed5e, ROUTE, , , 1
[18:45:13.165], STTP, 13, , , , , , send_share, CPU: 1.166255 ms, wall: 3.003315 ms, 1
[18:45:13.211], STTP, 13, <--, CLIENT, 100, list, 25f518db, ROUTE, , , 1
[18:45:13.212], STTP, 13, -->, CLIENT, 100, list, 1dcc6d80, ROUTE, , , 1
[18:45:13.215], STTP, 13, , , , , , send_share, CPU: 1.181029 ms, wall: 3.681787 ms, 1
[18:45:13.220], STTP, 13, <--, CLIENT, 31, list, 71591690, ROUTE, , , 1
[18:45:13.221], STTP, 13, -->, CLIENT, 31, list, 7a1869ae, ROUTE, , , 1
[18:45:13.221], STTP, 13, , , , , , send_share, CPU: 1.117927 ms, wall: 1.129755 ms, 1
[18:45:13.221], STTP, 13, <--, CLIENT, 66, list, 9e67068e, ROUTE, , , 1
[18:45:13.224], STTP, 13, -->, CLIENT, 66, list, 212c8eef, ROUTE, , , 1
[18:45:13.224], STTP, 13, , , , , , send_share, CPU: 1.318691 ms, wall: 1.653680 ms, 1
[18:45:13.240], STTP, 13, <--, CLIENT, 76, list, cca4738c, ROUTE, , , 1
[18:45:13.242], STTP, 13, -->, CLIENT, 76, list, 3d9bbec8, ROUTE, , , 1
[18:45:13.243], STTP, 13, , , , , , send_share, CPU: 1.234394 ms, wall: 2.176375 ms, 1
