[18:45:12.565], STTP, 18, -->, CLIENT, 1, list, 2d429f58, ROUTE, , , 1
[18:45:12.566], STTP, 18, , , , , , send_share, CPU: 2.013132 ms, wall: 2.062759 ms, 1
[18:45:12.788], STTP, 18, <--, CLIENT, 11, list, d465cef7, ROUTE, , , 1
[18:45:12.788], STTP, 18, -->, CLIENT, 11, list, c6e81e46, ROUTE, , , 1
[18:45:12.789], STTP, 18, , , , , , send_share, CPU: 0.736656 ms, wall: 0.743317 ms, 1
[18:45:12.907], STTP, 18, <--, CLIENT, 10, list, fb083119, ROUTE, , , 1
[18:45:12.907], STTP, 18, -->, CLIENT, 10, list, 280e30ed, ROUTE, , , 1
[18:45:12.908], STTP, 18, , , , , , send_share, CPU: 0.722059 ms, wall: 0.727429 ms, 1
[18:45:12.933], STTP, 18, <--, CLIENT, 51, list, 7b3586d8, ROUTE, , , 1
[18:45:12.935], STTP, 18, -->, CLIENT, 51, list, f965817f, ROUTE, , , 1
[18:45:12.936], STTP, 18, , , , , , send_share, CPU: 2.234181 ms, wall: 2.276545 ms, 1
[18:45:12.936], STTP, 18, <--, CLIENT, 2, list, 140ba017, ROUTE, , , 1
[18:45:12.938], STTP, 18, -->, CLIENT, 2, list, 6ba6c12d, ROUTE, , , 1
[18:45:12.938], STTP, 18, , , , , , send_share, CPU: 1.701308 ms, wall: 1.737031 ms, 1
[18:45:12.957], STTP, 18, <--, CLIENT, 93, list, 8458fa1c, ROUTE, , , 1
[18:45:12.958], STTP, 18, -->, CLIENT, 93, list, 70949068, ROUTE, , , 1
[18:45:12.959], STTP, 18, , , , , , send_share, CPU: 1.146618 ms, wall: 1.158446 ms, 1
[18:45:12.964], STTP, 18, <--, CLIENT, 15, list, 94afbdb6, ROUTE, , , 1
[18:45:12.966], STTP, 18, -->, CLIENT, 15, list, e3c8f297, ROUTE, , , 1
[18:45:12.966], STTP, 18, , , , , , send_share, CPU: 2.308984 ms, wall: 2.350846 ms, 1
[18:45:12.988], STTP, 18, <--, CLIENT, 26, list, c42d0595, ROUTE, , , 1
[18:45:12.989], STTP, 18, -->, CLIENT, 26, list, 522ef409, ROUTE, , , 1
[18:45:12.990], STTP, 18, , , , , , send_share, CPU: 0.925456 ms, wall: 0.935923 ms, 1
[18:45:12.996], STTP, 18, <--, CLIENT, 40, list, efbab566, ROUTE, , , 1
[18:45:12.997], STTP, 18, -->, CLIENT, 40, list, dc2da2a0, ROUTE, , , 1
[18:45:12.997], STTP, 18, , , , , , send_share, CPU: 0.766240 ms, wall: 0.778196 ms, 1
[18:45:13.058], STTP, 18, <--, CLIENT, 75, list, 238bc153, ROUTE, , , 1
[18:45:13.059], STTP, 18, -->, CLIENT, 75, list, 9840a902, ROUTE, , , 1
[18:45:13.059], STTP, 18, , , , , , send_share, CPU: 0.787142 ms, wall: 0.800590 ms, 1
[18:45:13.072], STTP, 18, <--, CLIENT, 48, list, 3974d56a, ROUTE, , , 1
[18:45:13.073], STTP, 18, -->, CLIENT, 48, list, 973bb770, ROUTE, , , 1
[18:45:13.074], STTP, 18, , , , , , send_share, CPU: 1.303250 ms, wall: 1.825389 ms, 1
[18:45:13.074], STTP, 18, <--, CLIENT, 99, list, 007160a0, ROUTE, , , 1
[18:45:13.075], STTP, 18, -->, CLIENT, 99, list, b621305e, ROUTE, , , 1
[18:45:13.075], STTP, 18, , , , , , send_share, CPU: 0.866975 ms, wall: 0.879504 ms, 1
[18:45:13.076], STTP, 18, <--, CLIENT, 59, list, 1f9ee317, ROUTE, , , 1
[18:45:13.077], STTP, 18, -->, CLIENT, 59, list, 00e418ae, ROUTE, , , 1
[18:45:13.077], STTP, 18, , , , , , send_share, CPU: 0.736864 ms, wall: 0.742302 ms, 1
[18:45:13.081], STTP, 18, <--, CLIENT, 30, list, eb278337, ROUTE, , , 1
[18:45:13.082], STTP, 18, -->, CLIENT, 30, list, e69afe58, ROUTE, , , 1
[18:45:13.083], STTP, 18, , , , , , send_share, CPU: 1.093024 ms, wall: 1.105674 ms, 1
[18:45:13.083], STTP, 18, <--, CLIENT, 22, list, c5ef24fb, ROUTE, , , 1
[18:45:13.084], STTP, 18, -->, CLIENT, 22, list, b33311c0, ROUTE, , , 1
[18:45:13.084], STTP, 18, , , , , , send_share, CPU: 1.106621 ms, wall: 1.129686 ms, 1
[18:45:13.089], STTP, 18, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.090], STTP, 18, -->, CLIENT, 47, list, 7bd71a3d, ROUTE, , , 1
[18:45:13.091], STTP, 18, , , , , , send_share, CPU: 1.068505 ms, wall: 1.137657 ms, 1
[18:45:13.116], STTP, 18, <--, CLIENT, 46, list, 10a8ff63, ROUTE, , , 1
[18:45:13.117], STTP, 18, -->, CLIENT, 46, list, 990b6303, ROUTE, , , 1
[18:45:13.119], STTP, 18, , , , , , send_share, CPU: 1.296275 ms, wall: 2.647793 ms, 1
[18:45:13.119], STTP, 18, <--, CLIENT, 70, list, 545edca6, ROUTE, , , 1
[18:45:13.120], STTP, 18, -->, CLIENT, 70, list, d296f05e, ROUTE, , , 1
[18:45:13.122], STTP, 18, , , , , , send_share, CPU: 1.056787 ms, wall: 2.766286 ms, 1
[18:45:13.123], STTP, 18, <--, CLIENT, 16, list, 7295c272, ROUTE, , , 1
[18:45:13.124], STTP, 18, -->, CLIENT, 16, list, 398ce467, ROUTE, , , 1
[18:45:13.126], STTP, 18, , , , , , send_share, CPU: 1.172257 ms, wall: 3.239048 ms, 1
[18:45:13.129], STTP, 18, <--, CLIENT, 74, list, c7f5ff6b, ROUTE, , , 1
[18:45:13.130], STTP, 18, -->, CLIENT, 74, list, 7352433c, ROUTE, , , 1
[18:45:13.130], STTP, 18, , , , , , send_share, CPU: 1.221639 ms, wall: 1.266934 ms, 1
[18:45:13.156], STTP, 18, <--, CLIENT, 80, list, 5fab0d80, ROUTE, , , 1
[18:45:13.157], STTP, 18, -->, CLIENT, 80, list, 453abcba, ROUTE, , , 1
[18:45:13.159], STTP, 18, , , , , , send_share, CPU: 1.191299 ms, wall: 2.740455 ms, 1
[18:45:13.170], STTP, 18, <--, CLIENT, 84, list, f786c72d, ROUTE, , , 1
[18:45:13.171], STTP, 18, -->, CLIENT, 84, list, d702b088, ROUTE, , , 1
[18:45:13.173], STTP, 18, , , , , , send_share, CPU: 1.245790 ms, wall: 3.222327 ms, 1
[18:45:13.178], STTP, 18, <--, CLIENT, 57, list, f08513bf, ROUTE, , , 1
[18:45:13.179], STTP, 18, -->, CLIENT, 57, list, 60bfd48b, ROUTE, , , 1
[18:45:13.180], STTP, 18, , , , , , send_share, CPU: 1.117792 ms, wall: 1.131563 ms, 1
[18:45:13.189], STTP, 18, <--, CLIENT, 96, list, a6d2ae2b, ROUTE, , , 1
[18:45:13.190], STTP, 18, -->, CLIENT, 96, list, 48550703, ROUTE, , , 1
[18:45:13.190], STTP, 18, , , , , , send_share, CPU: 1.167214 ms, wall: 1.181224 ms, 1
[18:45:13.197], STTP, 18, <--, CLIENT, 79, list, 36e7ad91, ROUTE, , , 1
[18:45:13.198], STTP, 18, -->, CLIENT, 79, list, f48aa10f, ROUTE, , , 1
[18:45:13.203], STTP, 18, , , , , , send_share, CPU: 1.312630 ms, wall: 5.499696 ms, 1
[18:45:13.203], STTP, 18, <--, CLIENT, 58, list, e1f328f4, ROUTE, , , 1
[18:45:13.209], STTP, 18, -->, CLIENT, 58, list, f65b7a14, ROUTE, , , 1
[18:45:13.210], STTP, 18, , , , , , send_share, CPU: 1.177960 ms, wall: 1.190590 ms, 1
