[18:45:13.259], MIX, 5, , , , , , process_header, CPU: 2.155950 ms, wall: 2.246643 ms, 
[18:45:13.259], MIX, 5, -->, MIX, 24, Header, a9be0425, RUN, , , 
[18:45:13.261], MIX, 5, <--, MIX, 3, Header, 71cc0b5e, RUN, , , 
[18:45:13.262], MIX, 5, , , , , , compute_shared_secret, CPU: 0.165198 ms, wall: 0.165407 ms, 
[18:45:13.262], MIX, 5, , , , , , verify_integrity, CPU: 0.260669 ms, wall: 0.286827 ms, 
[18:45:13.263], MIX, 5, , , , , , decrypt_beta, CPU: 1.189475 ms, wall: 1.225467 ms, 
[18:45:13.264], MIX, 5, , , , , , update_alpha, CPU: 0.103358 ms, wall: 0.103161 ms, 
[18:45:13.264], MIX, 5, , , , , , process_header, CPU: 2.096996 ms, wall: 2.157741 ms, 
[18:45:13.264], MIX, 5, -->, MIX, 43, Header, 314f3ef3, RUN, , , 
[18:45:13.286], MIX, 5, <--, CLIENT, 58, Header, 0409c07c, RUN, , , 
[18:45:13.287], MIX, 5, , , , , , compute_shared_secret, CPU: 0.162588 ms, wall: 0.163217 ms, 
[18:45:13.287], MIX, 5, , , , , , verify_integrity, CPU: 0.303397 ms, wall: 0.312742 ms, 
[18:45:13.288], MIX, 5, , , , , , decrypt_beta, CPU: 0.812430 ms, wall: 0.812641 ms, 
[18:45:13.288], MIX, 5, , , , , , update_alpha, CPU: 0.062568 ms, wall: 0.062254 ms, 
[18:45:13.288], MIX, 5, , , , , , process_header, CPU: 1.755644 ms, wall: 1.770397 ms, 
[18:45:13.288], MIX, 5, -->, MIX, 1, Header, d1c61408, RUN, , , 
[18:45:13.291], MIX, 5, <--, MIX, 18, Header, a53b2f87, RUN, , , 
[18:45:13.291], MIX, 5, , , , , , compute_shared_secret, CPU: 0.156535 ms, wall: 0.157267 ms, 
[18:45:13.292], MIX, 5, , , , , , verify_integrity, CPU: 0.195815 ms, wall: 0.209727 ms, 
[18:45:13.292], MIX, 5, , , , , , decrypt_beta, CPU: 0.804426 ms, wall: 0.812240 ms, 
[18:45:13.293], MIX, 5, , , , , , update_alpha, CPU: 0.064487 ms, wall: 0.064542 ms, 
[18:45:13.293], MIX, 5, , , , , , process_header, CPU: 1.574397 ms, wall: 1.613482 ms, 
[18:45:13.293], MIX, 5, -->, MIX, 4, Header, 5d3a8339, RUN, , , 
[18:45:13.302], MIX, 5, <--, MIX, 49, Header, 9d26e542, RUN, , , 
[18:45:13.303], MIX, 5, , , , , , compute_shared_secret, CPU: 0.120346 ms, wall: 0.120439 ms, 
[18:45:13.303], MIX, 5, , , , , , verify_integrity, CPU: 0.168618 ms, wall: 0.168617 ms, 
[18:45:13.304], MIX, 5, , , , , , decrypt_beta, CPU: 0.756266 ms, wall: 0.763000 ms, 
[18:45:13.304], MIX, 5, , , , , , update_alpha, CPU: 0.062946 ms, wall: 0.062923 ms, 
[18:45:13.304], MIX, 5, , , , , , process_header, CPU: 1.340745 ms, wall: 1.346368 ms, 
[18:45:13.304], MIX, 5, -->, CLIENT, 100, Header, 4b063158, RUN, , , 
